time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-08-30 19:59:05,33.0316083539573,-117.169629338135,0,Available with any HD 360 subscription,Available with any HD 360 subscription,193.68980803534,0.328084,0,0,0,13,5,0,193.68980803534,0,0,0,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
100,2022-08-30 19:59:05,33.0316083708451,-117.169629368167,0,,,193.68980803534,0.328084,0,0.0110611224012,0.0110611224012,13,5,0,193.68980803534,0,0,0.0110611224012,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
200,2022-08-30 19:59:06,33.031608338209,-117.169629463631,0,,,193.68980803534,0.328084,0,0.038814305704,0.042596129972,13,5,0,193.68980803534,0,0,0.038814305704,0,0,0,171.8, 4, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
300,2022-08-30 19:59:06,33.0316083516517,-117.169629500314,0,,,193.68980803534,0.328084,0,0.049614174816,0.054841865272,13,5,0,193.68980803534,0,0,0.049614174816,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
400,2022-08-30 19:59:06,33.0316083240632,-117.169629423306,0,,,193.68980803534,0.328084,0,0.0282429799064,0.080457351656,13,5,0,193.68980803534,0,0,0.049614174816,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
500,2022-08-30 19:59:06,33.0316083343232,-117.169629450096,0,,,193.68980803534,0.328084,0,0.034987862012,0.089466538296,13,5,0,193.68980803534,0,0,0.049614174816,0,0,0,171.8, 4, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
600,2022-08-30 19:59:06,33.0316083124629,-117.169629548947,0,,,193.68980803534,0.328084,0,0.066236222592,0.120736880504,13,5,0,193.68980803534,0,0,0.066236222592,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 63. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2022-08-30 19:59:06,33.0316083202707,-117.169629582108,0,,,193.68980803534,0.328084,0,0.075631236016,0.131272641996,13,5,0,193.68980803534,0,0,0.075631236016,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
800,2022-08-30 19:59:06,33.0316083038637,-117.169629510675,0,,,193.68980803534,0.328084,0,0.05585137974,0.153927826448,13,5,0,193.68980803534,0,0,0.075631236016,0,0,0,171.8, 4, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,0,107.78,193.68980803534,0,41,Motors_Started,
900,2022-08-30 19:59:06,33.0316083094558,-117.169629534921,0,,,193.68980803534,0.328084,0,0.0623441621,0.161619755828,13,5,12.755,193.68980803534,0,0,0.075631236016,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,1.786,107.78,193.68980803534,0,41,Motors_Started,
1000,2022-08-30 19:59:06,33.031608135307,-117.169629478591,0,,,193.68980803534,0.328084,0,0.090607614448,0.227452763184,13,5,12.755,193.68980803534,0,0,0.090607614448,0,0,0,171.9, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,1.786,107.78,193.68980803534,0,41,Motors_Started,
1100,2022-08-30 19:59:06,33.0316081242342,-117.16962949481,0,,,193.68980803534,0.328084,0,0.096547903352,0.233850401184,13,5,12.755,193.68980803534,0,0,0.096547903352,0,0,0,171.8, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,1.786,107.78,193.68980803534,0,41,Motors_Started,
1200,2022-08-30 19:59:07,33.0316082975755,-117.169629615295,0,,,193.68980803534,0.328084,0,0.087237207516,0.307048238172,13,5,12.755,193.68980803534,0,0,0.096547903352,0,0,0,172.2, 3.9, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,169.1,0,94,4.244,4.237,4.241,0,0,0,1.786,107.78,193.68980803534,0,41,Motors_Started,
