time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2025-02-16 08:06:49,31.182122750451,121.471941871083,0,Available with any HD 360 subscription,Available with any HD 360 subscription,37.800766301488,0,0,0,0,32,5,0,37.800766301488,0,0,0,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,6,P-GPS,"SD卡为低速卡，可能影响功能正常使用，请更换SD卡 (Code: 10028). 未起飞，视觉系统及避障关闭 (Code: 180059). Remote ID 功能正常 (Code: 1B080003)"
100,2025-02-16 08:06:49,31.1821227498661,121.471941867937,0,,,37.800766301488,0,0,0.0010050525256,0.0010050525256,32,5,0,37.800766301488,0,0,0.0010050525256,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
200,2025-02-16 08:06:49,31.1821227496564,121.471941868799,0,,,37.800766301488,0.328084,0,0.00076949149444,0.00128504925372,32,5,0,37.800766301488,0,0,0.0010050525256,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
300,2025-02-16 08:06:49,31.1821227523154,121.471941866289,0,,,37.800766301488,0.328084,0,0.00164360569564,0.00253200795504,32,5,0,37.800766301488,0,0,0.00164360569564,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
400,2025-02-16 08:06:49,31.1821227527078,121.471941868395,0,,,37.800766301488,0.328084,0,0.00117545607436,0.00320478684796,32,5,0,37.800766301488,0,0,0.00164360569564,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
500,2025-02-16 08:06:50,31.1821227525831,121.471941870375,0,,,37.800766301488,0.328084,0,0.0008086614432,0.0038244095712,32,5,0,37.800766301488,0,0,0.00164360569564,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
600,2025-02-16 08:06:50,31.1821227528229,121.471941869102,0,,,37.800766301488,0.328084,0,0.00106357943036,0.004231299348,32,5,0,37.800766301488,0,0,0.00164360569564,0,0,0,235.4, -1.3, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
700,2025-02-16 08:06:50,31.1821227500553,121.471941865739,0,,,37.800766301488,0.328084,0,0.0016742290562,0.0056877954576,32,5,0,37.800766301488,0,0,0.0016742290562,0,0,0,235.3, -1.1, -2.5,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 41. Setting new Maximum Flight Altitude to 120m (394 ft)"
800,2025-02-16 08:06:50,31.1821227526024,121.471941868751,0,,,37.800766301488,0.328084,0,0.00107059386628,0.0070095802768,32,5,0,37.800766301488,0,0,0.0016742290562,0,0,0,235.4, -1.2, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,256,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
900,2025-02-16 08:06:50,31.1821227679023,121.471941758704,0,,,37.800766301488,0.328084,0,0.035650919776,0.041810040708,32,5,0,37.800766301488,0,0,0.035650919776,0,0,0,235.4, -1.2, -2.5,0,0,1024,1024,1024,1024,0,0,0,0,255.9,0,0,47,3.723,3.72,3.721,3.718,0,0,0,77.18,37.800766301488,0,41,Motors_Started,
